id,target_cell,method,measured_gap,measured_fail,pred_gap
20211207_73549__261982__5945::sa__hepg2__4,HepG2,sa,2.887,0,1.0070825
20211212_92818__893131__365::fsp__k562__0,K562,fsp,5.117,0,3.9668043
20211212_85225__619474__185::fsp__k562__0,K562,fsp,5.959,0,4.407809
20211212_73316__958155__1304::fsp__sknsh__4,SKNSH,fsp,3.109,0,1.2163007
20211212_10357__323391__579::fsp__k562__0,K562,fsp,3.73,0,1.30499
20211207_112927__175796__1273::sa__hepg2__0,HepG2,sa,2.697,0,2.206172
20211207_112927__175796__1011::sa__hepg2__0,HepG2,sa,2.897,0,1.3017902
20211210_221044__191551__274::hmc__k562__0,K562,hmc,3.695,0,1.4064807
20211207_195336__853804__4621::sa__k562__3,K562,sa,3.545,0,1.9800175
20211207_212124__46481152__3030::al__sknsh__0,SKNSH,al,2.411,0,0.49944118
20211207_85512__472183__4359::sa__hepg2__3,HepG2,sa,2.089,0,0.6829684
20211210_221157__957271__206::hmc__k562__0,K562,hmc,2.759,0,0.82340455
20211212_45907__313665__14::fsp__hepg2__0,HepG2,fsp,3.314,0,1.6074157
20211207_212124__46481152__211::al__sknsh__0,SKNSH,al,2.828,0,-1.0544122
20211213_142502__650549__7::hmc__sknsh__0,SKNSH,hmc,-1.543,1,-0.25225577
20211206_24503__33072627__2400::al__hepg2__0,HepG2,al,0.787,0,1.1438785
20211212_22207__477844__592::fsp__k562__1,K562,fsp,1.593,0,0.9465799
20211212_55149__346635__565::fsp__hepg2__1,HepG2,fsp,2.95,0,2.3163636
20211214_111905__704605__3061::sa_rep__sknsh__0,SKNSH,sa_rep,1.083,0,-0.48549217
20211207_214935__668330__5295::sa__k562__4,K562,sa,4.363,0,1.0508432
20211210_221309__146215__494::hmc__k562__0,K562,hmc,2.06,0,-0.14767551
20211212_10357__323391__1738::fsp__k562__0,K562,fsp,6.641,0,3.800651
20211210_222736__775920__459::hmc__hepg2__0,HepG2,hmc,1.745,0,1.2413378
20211206_221956__59439361__3407::al__k562__0,K562,al,6.732,0,3.2405694
20211207_175000__383007__4287::sa__sknsh__3,SKNSH,sa,0.888,0,-0.07646626
20211214_100033__420816__1332::sa_rep__hepg2__0,HepG2,sa_rep,0.277,0,0.64730453
20211212_52639__969454__7::fsp__hepg2__0,HepG2,fsp,4.305,0,3.0315409
20211212_73316__958155__1547::fsp__sknsh__5,SKNSH,fsp,2.947,0,-0.090145975
20211206_221956__59439361__1766::al__k562__0,K562,al,4.323,0,1.6416204
20211210_221309__146215__27::hmc__k562__0,K562,hmc,4.079,0,2.191142
20211212_55149__346635__108::fsp__hepg2__0,HepG2,fsp,6.074,0,2.4044552
20211206_221956__59439361__1173::al__k562__0,K562,al,4.425,0,3.5344625
20211207_73549__261982__290::sa__hepg2__0,HepG2,sa,2.97,0,1.4942288
20211207_141610__992334__4398::sa__sknsh__3,SKNSH,sa,-0.776,1,-0.41457415
20211207_63610__124703__112::sa__hepg2__0,HepG2,sa,5.288,0,2.0432012
20211207_73549__261982__6907::sa__hepg2__5,HepG2,sa,0.54,0,0.3320655
20211207_100944__255626__5510::sa__hepg2__4,HepG2,sa,1.292,0,0.82590485
20211207_63610__124703__2884::sa__hepg2__1,HepG2,sa,0.505,0,0.5715831
20211206_24503__33072627__2187::al__hepg2__0,HepG2,al,0.465,0,2.1100566
20211207_212124__46481152__3910::al__sknsh__0,SKNSH,al,2.358,0,0.44461465
20211212_24754__730114__720::fsp__k562__1,K562,fsp,4.344,0,3.5855174
20211212_85225__619474__212::fsp__k562__0,K562,fsp,4.671,0,2.2265036
20211212_92818__893131__540::fsp__k562__1,K562,fsp,5.153,0,2.4090729
20211214_94001__624120__3393::sa_rep__k562__0,K562,sa_rep,-1.348,1,1.1620297
20211207_175000__383007__4426::sa__sknsh__3,SKNSH,sa,-0.087,1,-0.23156425
20211207_212124__46481152__118::al__sknsh__0,SKNSH,al,5.973,0,0.6961818
20211207_152258__777391__4648::sa__sknsh__3,SKNSH,sa,2.191,0,0.16160205
20211207_152258__777391__465::sa__sknsh__0,SKNSH,sa,4.024,0,-0.077273965
20211207_100944__255626__5333::sa__hepg2__4,HepG2,sa,2.024,0,0.57835585
20211207_163007__848589__42::sa__sknsh__0,SKNSH,sa,2.277,0,0.029940054
20211214_111905__704605__2391::sa_rep__sknsh__0,SKNSH,sa_rep,-0.025,1,0.20145303
20211214_100033__420816__1970::sa_rep__hepg2__0,HepG2,sa_rep,1.056,0,0.91866845
20211207_175000__383007__158::sa__sknsh__0,SKNSH,sa,1.631,0,-0.37661004
20211212_22207__477844__623::fsp__k562__1,K562,fsp,2.439,0,-0.1504207
20211212_75659__621411__1129::fsp__sknsh__3,SKNSH,fsp,1.499,0,-0.077802345
20211206_221956__59439361__1748::al__k562__0,K562,al,4.444,0,3.0174022
20211212_73316__958155__224::fsp__sknsh__0,SKNSH,fsp,1.322,0,0.033786774
20211207_234119__367484__1336::sa__k562__0,K562,sa,4.343,0,1.4385246
20211206_221956__59439361__2628::al__k562__0,K562,al,4.195,0,1.0235437
20211207_63610__124703__1337::sa__hepg2__0,HepG2,sa,2.258,0,1.9581221
20211207_195336__853804__182::sa__k562__0,K562,sa,5.323,0,2.3046792
20211207_234119__367484__3226::sa__k562__2,K562,sa,3.086,0,0.0574726
20211207_163007__848589__118::sa__sknsh__0,SKNSH,sa,1.259,0,-0.30516496
20211206_24503__33072627__3930::al__hepg2__0,HepG2,al,4.287,0,2.277963
20211210_222022__565195__144::hmc__hepg2__0,HepG2,hmc,1.164,0,0.14507063
20211210_222848__670473__202::hmc__hepg2__0,HepG2,hmc,1.104,0,0.96161675
20211212_61436__944763__1049::fsp__hepg2__3,HepG2,fsp,4.313,0,2.1031501
20211212_10357__323391__867::fsp__k562__0,K562,fsp,5.151,0,4.865095
20211207_175000__383007__460::sa__sknsh__0,SKNSH,sa,2.585,0,-0.84865123
20211207_112927__175796__321::sa__hepg2__0,HepG2,sa,3.846,0,2.149574
20211207_214935__668330__4763::sa__k562__3,K562,sa,1.808,0,1.0076034
20211207_224529__679056__171::sa__k562__0,K562,sa,1.291,0,3.5626817
20211212_122659__199840__1275::fsp__sknsh__4,SKNSH,fsp,1.996,0,-0.21238804
20211212_12620__229779__695::fsp__hepg2__0,HepG2,fsp,3.123,0,2.0263197
20211214_100033__420816__353::sa_rep__hepg2__0,HepG2,sa_rep,-0.164,1,0.119229995
20211212_10357__323391__1990::fsp__k562__0,K562,fsp,4.546,0,3.6685927
20211207_100944__255626__1038::sa__hepg2__0,HepG2,sa,4.258,0,1.1387811
