id,label,act_gap,acc_binary_gap,acc_logsignal_gap
20211206_25443__72806280__6::al__hepg2__0,0,2.842493,0.898559,1.490807
20211212_55149__346635__493::fsp__hepg2__0,0,1.597362,0.745844,0.882758
20211207_152258__777391__6178::sa__sknsh__5,0,0.219700,-0.027461,0.010885
20211212_24754__730114__895::fsp__k562__2,0,0.981332,0.574531,0.792286
20211212_122659__199840__84::fsp__sknsh__0,0,-0.304077,-0.000819,0.137382
20211212_92818__893131__774::fsp__k562__2,0,0.214751,0.058767,0.201051
20211206_221956__59439361__3799::al__k562__0,0,3.260995,0.958127,1.523718
20211210_221533__849423__148::hmc__k562__0,0,1.479499,0.609083,0.870384
20211207_205407__862697__1177::sa__k562__0,0,2.609325,0.857285,1.104574
20211210_220554__102599__73::hmc__k562__0,0,1.533916,0.785178,1.131081
20211207_163007__848589__234::sa__sknsh__0,0,-0.007820,-0.010648,-0.139263
20211207_233624__81641919__37::al__k562__0,0,4.902791,0.973198,2.079216
20211210_221309__146215__85::hmc__k562__0,0,0.331434,0.196441,0.299016
20211207_234119__367484__4362::sa__k562__3,0,0.147282,0.092297,0.070351
20211207_63610__124703__607::sa__hepg2__0,0,0.907311,0.570784,0.692749
20211212_92818__893131__1050::fsp__k562__3,0,1.250142,0.657706,0.966830
20211214_94001__624120__2880::sa_rep__k562__0,0,1.025889,0.289544,0.171869
20211206_221956__59439361__3212::al__k562__0,0,1.636691,0.545851,0.701244
20211207_175000__383007__2937::sa__sknsh__1,0,-0.043788,-0.106803,-0.308082
20211207_212124__46481152__332::al__sknsh__0,0,-0.713484,-0.003777,-0.130766
20211210_221421__693103__65::hmc__k562__0,0,0.864532,0.411588,0.389154
20211206_221956__59439361__1387::al__k562__0,0,3.400353,0.906955,1.467127
20211210_200256__612928__1299::fsp_uc__hepg2__0,0,3.385131,0.973348,2.176892
20211212_14909__942569__702::fsp__sknsh__0,0,0.405983,-0.005020,-0.011791
20211207_212124__46481152__1524::al__sknsh__0,0,0.655783,-0.008048,-0.179997
20211207_141610__992334__883::sa__sknsh__0,0,0.361954,0.026252,0.025922
20211207_73549__261982__5945::sa__hepg2__4,0,1.007083,0.686168,0.817855
20211212_92818__893131__365::fsp__k562__0,0,3.966804,0.948312,1.629476
20211212_85225__619474__185::fsp__k562__0,0,4.407809,0.945747,1.689326
20211212_73316__958155__1304::fsp__sknsh__4,0,1.216301,0.003568,0.012685
20211212_10357__323391__579::fsp__k562__0,0,1.304990,0.491663,0.624928
20211207_112927__175796__1273::sa__hepg2__0,0,2.206172,0.808934,1.206846
20211207_112927__175796__1011::sa__hepg2__0,0,1.301790,0.838639,1.164252
20211210_221044__191551__274::hmc__k562__0,0,1.406481,0.635359,0.689277
20211207_195336__853804__4621::sa__k562__3,0,1.980018,0.691671,0.869150
20211207_212124__46481152__3030::al__sknsh__0,0,0.499441,-0.032740,-0.081743
20211207_85512__472183__4359::sa__hepg2__3,0,0.682968,0.202918,0.170810
20211210_221157__957271__206::hmc__k562__0,0,0.823405,0.428437,0.543737
20211212_45907__313665__14::fsp__hepg2__0,0,1.607416,0.847424,1.428259
20211207_212124__46481152__211::al__sknsh__0,0,-1.054412,0.005762,-0.205672
20211213_142502__650549__7::hmc__sknsh__0,1,-0.252256,-0.256297,-0.482006
20211206_24503__33072627__2400::al__hepg2__0,0,1.143879,0.657273,0.912201
20211212_22207__477844__592::fsp__k562__1,0,0.946580,0.455594,0.610889
20211212_55149__346635__565::fsp__hepg2__1,0,2.316364,0.978567,1.976153
20211214_111905__704605__3061::sa_rep__sknsh__0,0,-0.485492,0.036993,0.074772
20211207_214935__668330__5295::sa__k562__4,0,1.050843,0.614284,0.678774
20211210_221309__146215__494::hmc__k562__0,0,-0.147676,0.219624,0.281429
20211212_10357__323391__1738::fsp__k562__0,0,3.800651,0.815807,1.178281
20211210_222736__775920__459::hmc__hepg2__0,0,1.241338,0.581890,0.595943
20211206_221956__59439361__3407::al__k562__0,0,3.240569,0.902905,1.181347
20211207_175000__383007__4287::sa__sknsh__3,0,-0.076466,-0.095878,-0.391558
20211214_100033__420816__1332::sa_rep__hepg2__0,0,0.647305,0.586773,0.808252
20211212_52639__969454__7::fsp__hepg2__0,0,3.031541,0.983724,2.919459
20211212_73316__958155__1547::fsp__sknsh__5,0,-0.090146,-0.050961,-0.123074
20211206_221956__59439361__1766::al__k562__0,0,1.641620,0.675021,0.749890
20211210_221309__146215__27::hmc__k562__0,0,2.191142,0.851310,1.182790
20211212_55149__346635__108::fsp__hepg2__0,0,2.404455,0.964359,1.842008
20211206_221956__59439361__1173::al__k562__0,0,3.534462,0.833320,1.313739
20211207_73549__261982__290::sa__hepg2__0,0,1.494229,0.870301,0.942102
20211207_141610__992334__4398::sa__sknsh__3,1,-0.414574,-0.111195,-0.184726
20211207_63610__124703__112::sa__hepg2__0,0,2.043201,0.864924,1.323495
20211207_73549__261982__6907::sa__hepg2__5,0,0.332065,0.082626,0.073900
20211207_100944__255626__5510::sa__hepg2__4,0,0.825905,0.367986,0.421833
20211207_63610__124703__2884::sa__hepg2__1,0,0.571583,0.469567,0.419552
20211206_24503__33072627__2187::al__hepg2__0,0,2.110057,0.911394,1.333230
20211207_212124__46481152__3910::al__sknsh__0,0,0.444615,-0.007513,-0.116881
20211212_24754__730114__720::fsp__k562__1,0,3.585518,0.878025,1.382505
20211212_85225__619474__212::fsp__k562__0,0,2.226504,0.784658,0.907116
20211212_92818__893131__540::fsp__k562__1,0,2.409073,0.878503,1.348363
20211214_94001__624120__3393::sa_rep__k562__0,1,1.162030,0.604340,0.851854
20211207_175000__383007__4426::sa__sknsh__3,1,-0.231564,0.000155,0.035923
20211207_212124__46481152__118::al__sknsh__0,0,0.696182,-0.006822,-0.179598
20211207_152258__777391__4648::sa__sknsh__3,0,0.161602,-0.033042,-0.085778
20211207_152258__777391__465::sa__sknsh__0,0,-0.077274,-0.000116,0.076846
20211207_100944__255626__5333::sa__hepg2__4,0,0.578356,0.361927,0.523534
20211207_163007__848589__42::sa__sknsh__0,0,0.029940,0.039487,0.049343
20211214_111905__704605__2391::sa_rep__sknsh__0,1,0.201453,0.011599,0.171709
20211214_100033__420816__1970::sa_rep__hepg2__0,0,0.918668,0.168849,0.560055
20211207_175000__383007__158::sa__sknsh__0,0,-0.376610,-0.035064,-0.195492
20211212_22207__477844__623::fsp__k562__1,0,-0.150421,0.081082,0.035529
20211212_75659__621411__1129::fsp__sknsh__3,0,-0.077802,-0.069820,-0.145861
20211206_221956__59439361__1748::al__k562__0,0,3.017402,0.936669,1.285244
20211212_73316__958155__224::fsp__sknsh__0,0,0.033787,-0.008375,-0.123667
20211207_234119__367484__1336::sa__k562__0,0,1.438525,0.442826,0.588349
20211206_221956__59439361__2628::al__k562__0,0,1.023544,0.463587,0.515302
20211207_63610__124703__1337::sa__hepg2__0,0,1.958122,0.940435,1.405313
20211207_195336__853804__182::sa__k562__0,0,2.304679,0.730529,0.870578
20211207_234119__367484__3226::sa__k562__2,0,0.057473,0.194512,0.295811
20211207_163007__848589__118::sa__sknsh__0,0,-0.305165,-0.002749,0.264560
20211206_24503__33072627__3930::al__hepg2__0,0,2.277963,0.905512,1.204461
20211210_222022__565195__144::hmc__hepg2__0,0,0.145071,-0.056295,-0.159969
20211210_222848__670473__202::hmc__hepg2__0,0,0.961617,0.622112,0.749880
20211212_61436__944763__1049::fsp__hepg2__3,0,2.103150,0.826028,1.111975
20211212_10357__323391__867::fsp__k562__0,0,4.865095,0.954650,2.102997
20211207_175000__383007__460::sa__sknsh__0,0,-0.848651,-0.006879,0.030504
20211207_112927__175796__321::sa__hepg2__0,0,2.149574,0.979966,1.795286
20211207_214935__668330__4763::sa__k562__3,0,1.007603,0.408422,0.334906
20211207_224529__679056__171::sa__k562__0,0,3.562682,0.917945,1.421267
20211212_122659__199840__1275::fsp__sknsh__4,0,-0.212388,-0.018074,-0.151306
20211212_12620__229779__695::fsp__hepg2__0,0,2.026320,0.975952,1.834928
