pred_gap,fail
-0.38031876,0
-0.3803063,0
-0.38018548,0
-0.379888,0
-0.37987876,0
-0.37976384,0
-0.37930244,0
-0.37906766,0
-0.37863547,0
-0.378204,0
-0.37768182,0
-0.37762436,0
-0.37744322,0
-0.3764469,1
-0.37636772,0
-0.3763092,1
-0.3761954,0
-0.3758723,0
-0.37579915,1
-0.3755306,1
-0.37552476,1
-0.37534273,0
-0.37494904,0
-0.3747928,0
-0.3742566,0
-0.37420112,0
-0.37395176,1
-0.3739285,0
-0.3738647,1
-0.37377477,0
-0.37340748,0
-0.37260473,0
-0.37255585,0
-0.37248957,0
-0.3724538,0
-0.3722368,1
-0.37213773,1
-0.37147152,0
-0.37119198,0
-0.3710438,0
-0.37059075,0
-0.37053213,1
-0.37040147,0
-0.36981636,0
-0.36979806,0
-0.3697173,0
-0.3697009,0
-0.36958286,0
-0.36930686,0
-0.36911643,0
-0.3691007,1
-0.36869562,0
-0.3682356,1
-0.3679008,0
-0.3676808,0
-0.36758664,0
-0.3674643,0
-0.36746126,0
-0.36734167,0
-0.3673352,0
-0.36731794,1
-0.366959,1
-0.36678842,0
-0.36652663,1
-0.3663196,1
-0.36627844,0
-0.36621583,0
-0.3661787,0
-0.36607355,0
-0.36576498,0
-0.36559403,0
-0.36553243,1
-0.3650027,0
-0.36482632,0
-0.36470908,0
-0.36391708,0
-0.36385417,0
-0.36366546,0
-0.3633106,0
-0.3629247,1
-0.36261064,0
-0.36257797,0
-0.36115986,0
-0.36107767,0
-0.36074483,1
-0.36070707,0
-0.36030602,0
-0.35961866,0
-0.35934272,1
-0.35928777,0
-0.35906938,1
-0.3588773,1
-0.35860777,0
-0.357826,0
-0.3573259,0
-0.35724342,0
-0.3567115,0
-0.35641408,0
-0.35618234,0
-0.35588998,1
-0.35557032,0
-0.3554675,0
-0.355049,0
-0.35431212,0
-0.3542334,0
-0.3539486,0
-0.35374463,0
-0.35370234,0
-0.35369813,0
-0.3531314,0
-0.3529387,0
-0.35277215,0
-0.35215566,0
-0.35200033,0
-0.35198414,0
-0.3514049,0
-0.35131508,0
-0.3512491,1
-0.35118148,0
-0.3511447,0
-0.3510421,1
-0.35087395,0
-0.35075676,1
-0.35021675,0
-0.34976125,0
-0.3497197,1
-0.34918553,0
-0.3491797,0
-0.3490261,0
-0.3486238,0
-0.34848505,1
-0.34847587,1
-0.3483094,1
-0.34815285,0
-0.3480024,0
-0.34797832,0
-0.34698159,0
-0.34687832,1
-0.34673792,1
-0.34661973,0
-0.34660685,0
-0.34660187,0
-0.34632403,1
-0.3462624,0
-0.34612608,0
-0.34574562,0
-0.3456297,0
-0.34561002,1
-0.3451209,0
-0.34491444,0
-0.3447868,0
-0.34459257,0
-0.34440783,1
-0.34410083,0
-0.34393787,0
-0.3439255,0
-0.34386683,0
-0.34373194,0
-0.34362486,1
-0.34324825,0
-0.34313747,0
-0.3429849,1
-0.34223974,0
-0.34182215,0
-0.3415813,1
-0.3412721,0
-0.34111184,0
-0.3409787,1
-0.34083843,0
-0.34077245,0
-0.34054977,0
-0.34041774,0
-0.34027588,1
-0.34021732,0
-0.34011567,0
-0.33981323,0
-0.3394826,0
-0.33945787,0
-0.33900678,0
-0.3384602,0
-0.33834365,0
-0.33828163,0
-0.33766407,0
-0.33753717,0
-0.3373407,0
-0.33715683,0
-0.33715472,0
-0.3370851,1
-0.33637434,0
-0.33629036,0
-0.33619848,0
-0.33604676,0
-0.33599102,0
-0.33591843,0
-0.33589578,0
